数据日期,DB_TIME,DB_TPS,DB_QPS
2016/12/1,0.92,29.11,245.75
2016/12/2,1.36,25.98,228.0
2016/12/3,0.21,10.15,83.04
2016/12/4,0.19,9.38,77.02
2016/12/5,0.87,29.25,239.0
2016/12/6,1.44,25.38,228.13
2016/12/7,3.87,26.27,231.06
2016/12/8,1.85,21.45,201.31
2016/12/9,3.88,27.54,243.38
2016/12/10,1.26,11.08,89.73
2016/12/11,0.23,9.75,79.27
2016/12/12,4.98,30.22,251.66
2016/12/13,3.56,33.51,291.28
2016/12/14,0.83,28.46,251.94
2016/12/15,0.82,26.58,252.44
2016/12/16,0.92,31.66,272.44
2016/12/17,0.23,9.97,81.42
2016/12/18,0.19,8.65,71.08
2016/12/19,1.64,26.31,231.74
2016/12/20,1.24,32.87,302.27
2016/12/21,0.52,39.57,234.04
2016/12/22,0.94,28.93,258.04
2016/12/23,1.18,26.04,233.87
2016/12/24,0.22,10.9,89.16
2016/12/25,0.2,9.91,80.62
2016/12/26,1.17,40.45,330.42
2016/12/27,1.11,25.48,235.14
2016/12/28,1.05,25.07,229.22
2016/12/29,1.21,20.87,191.8
2016/12/30,1.02,31.31,288.94
2016/12/31,0.52,40.97,315.52
2017/1/1,0.23,9.56,77.81
2017/1/2,0.2,11.42,92.02
2017/1/3,1.3,37.34,303.45
2017/1/4,1.2,28.05,254.15
2017/1/5,0.96,26.74,240.18
2017/1/6,1.12,37.58,326.14
2017/1/7,0.29,12.71,103.91
2017/1/8,0.22,10.0,81.71
2017/1/9,1.06,29.51,279.44
2017/1/10,0.97,33.69,309.02
2017/1/11,1.07,40.36,355.18
2017/1/12,0.86,24.84,232.09
2017/1/13,1.0,23.75,220.06
2017/1/14,0.22,10.78,88.55
2017/1/15,0.22,9.76,80.6
2017/1/16,1.03,34.81,314.31
2017/1/17,1.02,33.13,289.32
2017/1/18,0.6,46.24,359.66
2017/1/19,0.98,28.98,260.31
2017/1/20,0.65,52.31,404.81
2017/1/21,0.32,16.55,132.86
2017/1/22,0.46,21.38,169.99
2017/1/23,1.26,37.1,317.73
2017/1/24,1.03,35.98,317.26
2017/1/25,5.3,43.1,348.45
2017/1/26,2.28,42.65,373.76
2017/1/27,0.16,7.84,67.24
2017/1/28,0.11,4.06,38.27
2017/1/29,0.13,3.63,35.29
2017/1/30,0.11,4.21,38.81
2017/1/31,0.12,5.14,45.73
2017/2/1,0.17,6.7,57.96
2017/2/2,0.18,9.56,79.58
2017/2/3,1.52,33.83,280.86
2017/2/4,0.73,23.96,191.17
2017/2/5,0.26,13.11,104.5
2017/2/6,1.23,35.16,290.93
2017/2/7,2.4,38.74,336.17
2017/2/8,1.0,30.79,279.32
2017/2/9,1.09,35.61,310.83
2017/2/10,1.02,33.7,276.23
2017/2/11,0.34,19.7,156.77
2017/2/12,0.4,15.32,122.22
2017/2/13,1.17,41.86,337.13
2017/2/14,1.22,38.15,326.17
2017/2/15,1.08,35.97,301.59
2017/2/16,0.53,39.92,316.02
2017/2/17,0.9,37.07,297.49
2017/2/18,0.6,12.89,104.6
2017/2/19,0.3,11.17,89.39
2017/2/20,0.94,30.86,261.74
2017/2/21,0.51,37.04,290.36
2017/2/22,0.96,29.15,261.38
2017/2/23,0.94,27.54,254.28
2017/2/24,0.97,30.78,274.98
2017/2/25,0.33,11.89,97.14
2017/2/26,0.3,9.93,80.77
2017/2/27,1.09,28.46,245.55
2017/2/28,1.24,30.22,277.59
2017/3/1,1.33,38.16,332.64
2017/3/2,1.14,30.19,273.52
2017/3/3,1.06,34.55,283.6
2017/3/4,0.33,12.01,98.1
2017/3/5,0.31,10.2,82.89
2017/3/6,1.12,29.09,251.43
2017/3/7,1.11,31.5,283.49
2017/3/8,0.54,38.47,300.09
2017/3/9,0.91,24.61,227.08
2017/3/10,0.91,29.41,263.68
2017/3/11,0.35,15.71,126.52
2017/3/12,0.31,12.24,98.06
2017/3/13,1.14,32.94,273.85
2017/3/14,1.09,25.22,229.45
2017/3/15,0.58,41.83,326.05
2017/3/16,0.6,42.06,329.82
2017/3/17,0.87,28.4,239.96
2017/3/18,0.33,12.94,104.35
2017/3/19,0.31,11.11,88.6
2017/3/20,1.17,32.7,273.44
2017/3/21,1.21,32.2,286.3
2017/3/22,1.08,26.73,238.56
2017/3/23,0.97,26.52,247.32
2017/3/24,0.92,27.23,245.72
2017/3/25,0.31,10.43,85.97
2017/3/26,0.27,8.62,71.32
2017/3/27,1.16,25.48,240.47
2017/3/28,1.63,28.1,253.57
2017/3/29,0.99,23.75,219.67
2017/3/30,1.06,23.01,217.27
2017/3/31,1.12,27.97,249.43
2017/4/1,0.9,29.4,242.6
2017/4/2,0.3,9.5,78.63
2017/4/3,0.27,8.96,74.92
2017/4/4,0.31,10.74,88.63
2017/4/5,1.45,41.99,344.97
2017/4/6,1.09,32.65,298.04
2017/4/7,1.08,31.47,268.37
2017/4/8,0.35,11.92,98.66
2017/4/9,0.33,10.55,86.86
2017/4/10,1.79,33.04,283.72
2017/4/11,1.19,32.08,288.36
2017/4/12,1.02,27.86,248.93
2017/4/13,1.12,31.74,272.35
2017/4/14,1.04,28.86,259.21
2017/4/15,0.36,13.79,115.38
2017/4/16,0.51,32.39,264.75
2017/4/17,1.35,34.58,303.86
2017/4/18,1.19,35.25,318.53
2017/4/19,1.17,30.71,274.59
2017/4/20,1.24,34.26,291.99
2017/4/21,1.12,34.87,307.18
2017/4/22,0.36,13.32,109.83
2017/4/23,0.34,11.91,98.22
2017/4/24,1.5,30.97,289.6
2017/4/25,1.49,36.11,300.76
2017/4/26,1.27,30.24,273.96
2017/4/27,1.3,30.17,276.3
2017/4/28,1.19,31.39,264.87
2017/4/29,0.45,21.92,177.55
2017/4/30,0.35,12.75,103.58
2017/5/1,0.35,13.29,106.68
2017/5/2,2.09,46.61,379.24
2017/5/3,1.21,32.46,291.89
2017/5/4,1.19,31.09,273.44
2017/5/5,1.18,41.22,305.97
2017/5/6,0.36,11.76,96.52
2017/5/7,0.32,11.26,91.74
2017/5/8,1.22,29.73,268.43
2017/5/9,1.05,27.01,246.21
2017/5/10,1.1,33.23,269.73
2017/5/11,1.16,26.51,238.54
2017/5/12,1.0,29.55,248.16
2017/5/13,0.36,13.11,108.23
2017/5/14,0.33,11.58,95.2
2017/5/15,1.43,53.48,354.69
2017/5/16,1.28,34.43,300.68
2017/5/17,1.1,31.38,285.72
2017/5/18,1.05,28.5,257.58
2017/5/19,1.21,43.3,293.71
2017/5/20,0.37,13.27,108.45
2017/5/21,0.34,11.59,94.94
2017/5/22,1.29,30.17,268.61
2017/5/23,1.24,35.67,309.9
2017/5/24,1.21,30.09,269.57
2017/5/25,1.39,64.31,370.42
2017/5/26,1.1,30.49,269.63
2017/5/27,0.63,21.27,174.37
2017/5/28,0.31,9.68,79.48
2017/5/29,0.28,8.94,73.44
2017/5/30,0.28,8.93,73.59
2017/5/31,1.61,42.26,332.4
2017/6/1,0.54,36.16,287.05
2017/6/2,1.32,38.44,308.29
2017/6/3,0.41,14.79,118.4
2017/6/4,0.37,13.15,105.2
2017/6/5,1.37,33.71,287.39
2017/6/6,0.61,37.32,293.85
2017/6/7,1.24,31.82,274.65
2017/6/8,0.61,35.12,277.59
2017/6/9,1.5,58.85,355.93
2017/6/10,0.39,12.98,104.97
2017/6/11,0.34,11.24,91.51
2017/6/12,7.09,329.6,1162.98
2017/6/13,1.71,100.28,464.58
2017/6/14,1.09,31.1,269.31
2017/6/15,1.11,32.37,276.43
2017/6/16,1.08,29.59,256.48
2017/6/17,0.36,12.83,105.45
2017/6/18,0.5,30.89,253.63
2017/6/19,0.6,38.67,303.82
2017/6/20,0.6,38.7,303.77
2017/6/21,0.57,35.81,282.35
2017/6/22,1.19,30.32,274.21
2017/6/23,1.07,28.96,256.26
2017/6/24,0.54,30.83,248.81
2017/6/25,0.33,11.54,95.93
2017/6/26,1.42,33.75,300.9
2017/6/27,0.57,36.81,287.59
2017/6/28,0.58,35.1,276.05
2017/6/29,1.4,26.72,254.7
2017/6/30,0.57,37.97,295.52
2017/7/1,0.69,31.99,255.41
2017/7/2,0.61,20.89,167.93
2017/7/3,2.03,72.27,489.6
2017/7/4,1.4,38.29,320.37
2017/7/5,1.31,33.96,288.43
2017/7/6,1.12,31.59,281.21
2017/7/7,1.79,84.98,463.64
2017/7/8,0.41,15.32,124.39
2017/7/9,0.35,12.23,99.72
2017/7/10,1.35,37.07,312.85
2017/7/11,1.15,29.82,268.06
2017/7/12,1.21,27.49,248.19
2017/7/13,1.29,34.22,295.15
2017/7/14,1.28,40.24,323.54
2017/7/15,0.38,14.62,118.78
2017/7/16,0.4,12.15,99.11
2017/7/17,1.33,32.62,288.13
2017/7/18,1.14,30.52,271.11
2017/7/19,1.3,30.42,269.68
2017/7/20,1.38,40.28,356.07
2017/7/21,1.32,32.71,289.29
2017/7/22,0.42,13.63,110.94
2017/7/23,0.38,12.35,100.81
2017/7/24,1.55,32.64,306.12
2017/7/25,1.51,39.68,332.26
2017/7/26,1.38,29.62,276.79
2017/7/27,1.31,31.04,285.14
2017/7/28,1.61,53.81,334.73
2017/7/29,0.45,29.41,239.68
2017/7/30,0.37,11.67,95.38
2017/7/31,1.45,35.36,356.57
2017/8/1,2.01,59.41,507.28
2017/8/2,1.58,36.29,318.77
2017/8/3,2.2,32.79,303.91
2017/8/4,1.46,40.51,345.69
2017/8/5,0.43,15.0,121.92
2017/8/6,0.37,13.13,107.56
2017/8/7,1.69,37.2,347.68
2017/8/8,1.42,33.86,305.15
2017/8/9,1.28,31.72,287.38
2017/8/10,1.53,41.6,362.71
2017/8/11,1.5,35.64,316.5
2017/8/12,0.46,14.99,122.03
2017/8/13,0.4,13.41,110.94
2017/8/14,2.22,90.94,509.07
2017/8/15,1.84,65.72,508.24
2017/8/16,1.44,38.5,335.92
2017/8/17,1.46,41.02,353.81
2017/8/18,1.42,36.86,320.62
2017/8/19,0.44,16.05,128.08
2017/8/20,0.42,15.16,121.12
2017/8/21,1.97,62.14,508.6
2017/8/22,1.53,43.71,363.83
2017/8/23,1.67,37.43,339.74
2017/8/24,1.6,35.75,313.31
2017/8/25,1.67,42.7,374.39
2017/8/26,0.48,15.73,128.6
2017/8/27,0.0,0.0,0.0
2017/8/28,2.03,77.04,431.0
2017/8/29,1.47,33.98,303.88
2017/8/30,1.4,30.21,277.45
2017/8/31,1.58,31.48,305.8
2017/9/1,2.25,65.09,514.56
2017/9/2,0.6,20.63,168.24
2017/9/3,0.46,16.11,132.59
2017/9/4,1.94,40.17,371.3
2017/9/5,1.69,45.29,399.86
2017/9/6,1.5,31.53,288.55
2017/9/7,1.41,31.01,290.63
2017/9/8,1.73,36.3,318.68
2017/9/9,0.46,15.32,126.34
2017/9/10,0.41,14.23,116.0
2017/9/11,2.34,102.41,543.2
2017/9/12,1.29,31.27,280.85
2017/9/13,1.32,31.79,300.93
2017/9/14,0.56,35.99,299.22
2017/9/15,0.59,39.68,313.91
2017/9/16,0.41,13.46,113.08
2017/9/17,0.37,12.31,103.43
2017/9/18,1.48,32.17,307.73
2017/9/19,1.34,34.08,319.26
2017/9/20,1.36,37.57,342.66
2017/9/21,0.62,34.53,284.87
2017/9/22,1.3,27.86,236.56
2017/9/23,0.41,13.08,110.13
2017/9/24,0.38,12.11,103.01
2017/9/25,1.47,36.39,298.56
2017/9/26,1.37,31.53,270.99
2017/9/27,1.85,78.68,430.74
2017/9/28,1.31,32.11,275.4
2017/9/29,1.53,37.19,327.75
2017/9/30,1.21,44.31,356.83
2017/10/1,0.36,13.24,107.59
2017/10/2,0.49,25.42,215.21
2017/10/3,0.28,8.56,72.32
2017/10/4,0.29,8.78,73.82
2017/10/5,0.32,10.05,83.56
2017/10/6,0.35,11.5,95.03
2017/10/7,0.48,13.02,107.47
2017/10/8,0.52,17.53,143.39
2017/10/9,3.57,66.43,526.34
2017/10/10,1.71,54.67,456.1
2017/10/11,1.53,41.27,350.87
2017/10/12,1.29,35.05,296.11
2017/10/13,1.54,37.61,324.73
