数据日期,DB_TIME,DB_TPS,DB_QPS
2016/12/1,6,235.84,10198.03
2016/12/1,0.53,43.47,253.31
2016/12/1,0.92,29.11,245.75
2016/12/2,5.95,229.09,10029.27
2016/12/2,0.53,42.39,247.82
2016/12/2,1.36,25.98,228
2016/12/3,5.17,198.79,7833.82
2016/12/3,0.46,36.93,218.35
2016/12/3,0.21,10.15,83.04
2016/12/4,5.45,197.04,7741.57
2016/12/4,0.45,36.8,216.47
2016/12/4,0.19,9.38,77.02
2016/12/5,6.12,238.96,10694.59
2016/12/5,0.53,42.58,246.71
2016/12/5,0.87,29.25,239
2016/12/6,5.87,229.37,10328.23
2016/12/6,0.55,41.83,244.01
2016/12/6,1.44,25.38,228.13
2016/12/7,6.6,226.51,10349.46
2016/12/7,0.52,41.15,240.46
2016/12/7,3.87,26.27,231.06
2016/12/8,0.54,40.31,246.6
2016/12/8,6.79,226.73,10553.42
2016/12/8,1.85,21.45,201.31
2016/12/9,6.88,238.12,10852.57
2016/12/9,0.54,42.82,248.57
2016/12/9,3.88,27.54,243.38
2016/12/10,6.25,213.38,8722.97
2016/12/10,0.46,38.17,223.88
2016/12/10,1.26,11.08,89.73
2016/12/11,5.75,201.41,8106.06
2016/12/11,0.45,36.74,216.85
2016/12/11,0.23,9.75,79.27
2016/12/12,7.52,257.63,11634.25
2016/12/12,0.54,42.31,248.21
2016/12/12,4.98,30.22,251.66
2016/12/13,6.03,211.79,10057.45
2016/12/13,0.53,40.11,238
2016/12/13,3.56,33.51,291.28
2016/12/14,5.63,204.1,9715.6
2016/12/14,0.52,40.18,238.44
2016/12/14,0.83,28.46,251.94
2016/12/15,7.04,212.22,10224.03
2016/12/15,0.54,43.15,255.63
2016/12/15,0.82,26.58,252.44
2016/12/16,0.56,45.31,267.23
2016/12/16,5.92,202.23,9860.19
2016/12/16,0.92,31.66,272.44
2016/12/17,5.43,179.61,7580.13
2016/12/17,0.47,37.93,226.58
2016/12/17,0.23,9.97,81.42
2016/12/18,5.11,175.94,7366.38
2016/12/18,0.47,36.85,221
2016/12/18,0.19,8.65,71.08
2016/12/19,6.52,215.94,10367.94
2016/12/19,0.57,45.05,263.18
2016/12/19,1.64,26.31,231.74
2016/12/20,6.65,223.15,10651.18
2016/12/20,0.56,44.52,259.3
2016/12/20,1.24,32.87,302.27
2016/12/21,6.42,219,10249.56
2016/12/21,1,29.45,265.66
2016/12/21,0.52,39.57,234.04
2016/12/22,6.66,224.45,10349.57
2016/12/22,0.54,43.1,253.23
2016/12/22,0.94,28.93,258.04
2016/12/23,7.02,228.68,10379.54
2016/12/23,0.55,42.87,251.9
2016/12/23,1.18,26.04,233.87
2016/12/24,6.12,207.97,8189.47
2016/12/24,0.47,36.89,219.7
2016/12/24,0.22,10.9,89.16
2016/12/25,5.88,201.66,8038.75
2016/12/25,0.44,34.69,207.92
2016/12/25,0.2,9.91,80.62
2016/12/26,7.16,238.15,10829.45
2016/12/26,0.54,42.46,249.13
2016/12/26,1.17,40.45,330.42
2016/12/27,6.93,239.26,10571.06
2016/12/27,0.55,44.31,257.84
2016/12/27,1.11,25.48,235.14
2016/12/28,7.04,235.7,10368.98
2016/12/28,0.53,42.52,250.33
2016/12/28,1.05,25.07,229.22
2016/12/29,6.77,234.75,10162.83
2016/12/29,0.54,42.74,266
2016/12/29,1.21,20.87,191.8
2016/12/30,7.11,237.71,10363.12
2016/12/30,0.63,46.67,354.45
2016/12/30,1.02,31.31,288.94
2016/12/31,6.3,208.31,8487.44
2016/12/31,0.66,19.64,156.26
2016/12/31,0.52,40.97,315.52
2017/1/1,6.28,192.45,7190.77
2017/1/1,0.43,33.17,258.26
2017/1/1,0.23,9.56,77.81
2017/1/2,6.18,197.17,7712.03
2017/1/2,0.43,33.83,263.84
2017/1/2,0.2,11.42,92.02
2017/1/3,9,236.88,10721.71
2017/1/3,0.53,42.89,326.37
2017/1/3,1.3,37.34,303.45
2017/1/4,9.45,238.05,10789.06
2017/1/4,0.52,41.01,312.5
2017/1/4,1.2,28.05,254.15
2017/1/5,8.75,231.97,10904.75
2017/1/5,0.5,38.72,296.35
2017/1/5,0.96,26.74,240.18
2017/1/6,9.22,230.95,11087.62
2017/1/6,0.56,42.45,331.05
2017/1/6,1.12,37.58,326.14
2017/1/7,7.54,201.01,8699.59
2017/1/7,0.47,34.77,277.47
2017/1/7,0.29,12.71,103.91
2017/1/8,7.89,211.32,8808.24
2017/1/8,0.48,36.08,287.62
2017/1/8,0.22,10,81.71
2017/1/9,9.74,249.29,11532.99
2017/1/9,0.56,42.35,329.74
2017/1/9,1.06,29.51,279.44
2017/1/10,9.87,246.05,11825.94
2017/1/10,0.57,43.37,338.54
2017/1/10,0.97,33.69,309.02
2017/1/11,9.75,217.93,10907.71
2017/1/11,0.56,42.46,333.26
2017/1/11,1.07,40.36,355.18
2017/1/12,9.16,209.22,10369.48
2017/1/12,0.55,40.77,319.58
2017/1/12,0.86,24.84,232.09
2017/1/13,9.35,215.89,10589.08
2017/1/13,0.57,42.94,347.8
2017/1/13,1,23.75,220.06
