date,DB_TIME1,DB_TPS1,DB_TIME2,DB_TPS2,DB_TIME3,DB_TPS3
2017/4/1,10.58,228.77,0.62,41.46,0.9,29.4
2017/4/2,8.06,190.43,0.47,29.63,0.3,9.5
2017/4/3,7.42,189.28,0.45,28.37,0.27,8.96
2017/4/4,7.43,189.12,0.45,28.03,0.31,10.74
2017/4/5,11.71,250.21,0.6,39.89,1.45,41.99
2017/4/6,11.85,253.1,0.58,38.43,1.09,32.65
2017/4/7,12.8,246.66,0.6,38.51,1.08,31.47
2017/4/8,10.35,220.4,0.51,32.2,0.35,11.92
2017/4/9,10.12,217.57,0.49,31.52,0.33,10.55
2017/4/10,12.78,270.19,0.62,41.04,1.79,33.04
2017/4/11,11.88,229.47,0.64,40.06,1.19,32.08
2017/4/12,10.15,214.32,0.57,37.37,1.02,27.86
2017/4/13,10.11,216.67,0.57,37.28,1.12,31.74
2017/4/14,10.07,218.71,0.6,38.55,1.04,28.86
2017/4/15,8.5,186.74,0.53,34.13,0.36,13.79
2017/4/16,8.3,184.18,0.32,11.88,0.51,32.39
2017/4/17,10.52,226.93,0.61,40.1,1.35,34.58
2017/4/18,10.37,220.72,0.62,40.23,1.19,35.25
2017/4/19,10.36,223.81,0.61,38.41,1.17,30.71
2017/4/20,10.99,241.17,0.62,40.06,1.24,34.26
2017/4/21,10.87,236.36,0.59,38.74,1.12,34.87
2017/4/22,9.14,207.9,0.52,33.5,0.36,13.32
2017/4/23,9.22,210.14,0.5,31.91,0.34,11.91
2017/4/24,11.8,258.2,0.61,39.2,1.5,30.97
2017/4/25,12.14,255.77,0.6,38.01,1.49,36.11
2017/4/26,13.32,257.05,0.61,38.51,1.27,30.24
2017/4/27,12.38,265.87,0.62,40.12,1.3,30.17
2017/4/28,12.8,268.94,0.66,42.97,1.19,31.39
2017/4/29,10.4,219.91,0.52,33.23,0.45,21.92
2017/4/30,9.01,210.65,0.48,29.81,0.35,12.75
2017/5/1,8.6,217.77,0.47,28.6,0.35,13.29
2017/5/2,12.62,266.17,0.61,39.25,2.09,46.61
2017/5/3,11.74,253.63,0.57,35.99,1.21,32.46
2017/5/4,12.19,257.6,0.56,35.57,1.19,31.09
2017/5/5,12.03,255.13,0.58,36.76,1.18,41.22
2017/5/6,9.95,217.32,0.51,30.85,0.36,11.76
2017/5/7,9.86,216.74,0.49,30.98,0.32,11.26
2017/5/8,12.52,266.42,0.58,37.33,1.22,29.73
2017/5/9,12.8,265.06,0.57,37.15,1.05,27.01
2017/5/10,12.62,270.86,0.59,37.89,1.1,33.23
2017/5/11,11.35,246.95,0.55,35.5,1.16,26.51
2017/5/12,11.72,232.76,0.55,35.67,1.0,29.55
2017/5/13,9.14,201.31,0.48,30.57,0.36,13.11
2017/5/14,9.0,200.71,0.48,30.3,0.33,11.58
2017/5/15,11.2,240.64,0.59,39.38,1.43,53.48
2017/5/16,10.82,230.18,0.61,40.23,1.28,34.43
2017/5/17,10.64,223.96,0.58,37.41,1.1,31.38
2017/5/18,11.68,224.15,0.57,36.42,1.05,28.5
2017/5/19,10.53,234.63,0.57,38.44,1.21,43.3
2017/5/20,9.67,221.41,0.49,33.07,0.37,13.27
2017/5/21,9.19,209.7,0.47,31.05,0.34,11.59
2017/5/22,11.64,255.64,0.56,36.39,1.29,30.17
2017/5/23,11.1,249.53,0.55,37.05,1.24,35.67
2017/5/24,11.27,250.74,0.56,36.53,1.21,30.09
2017/5/25,13.06,253.87,0.56,37.25,1.39,64.31
2017/5/26,12.35,255.84,0.55,37.4,1.1,30.49
2017/5/27,13.26,256.42,0.57,37.62,0.63,21.27
2017/5/28,9.98,218.22,0.46,28.7,0.31,9.68
2017/5/29,8.7,208.7,0.44,28.05,0.28,8.94
2017/5/30,8.01,190.42,0.42,26.36,0.28,8.93
2017/5/31,12.94,261.11,0.56,37.8,1.61,42.26
2017/6/1,13.43,263.4,1.69,52.73,0.54,36.16
2017/6/2,13.55,261.79,0.56,35.86,1.32,38.44
2017/6/3,11.05,232.44,0.46,30.48,0.41,14.79
2017/6/4,11.11,228.2,0.52,29.42,0.37,13.15
2017/6/5,13.61,269.93,0.61,35.04,1.37,33.71
2017/6/6,13.91,272.4,1.34,34.4,0.61,37.32
2017/6/7,13.42,259.72,0.61,35.48,1.24,31.82
2017/6/8,13.7,264.56,1.23,29.3,0.61,35.12
2017/6/9,14.43,269.33,0.62,36.6,1.5,58.85
2017/6/10,12.24,236.51,0.53,31.03,0.39,12.98
2017/6/14,10.55,221.61,0.53,31.87,1.09,31.1
2017/6/15,10.8,236.8,0.56,34.55,1.11,32.37
2017/6/16,12.04,231.62,0.64,38.89,1.08,29.59
2017/6/17,8.66,197.34,0.49,31.43,0.36,12.83
2017/6/18,9.58,215.68,0.34,11.38,0.5,30.89
2017/6/19,11.39,244.23,1.45,41.75,0.6,38.67
2017/6/20,12.22,250.47,1.17,34.14,0.6,38.7
2017/6/21,11.08,244.02,1.23,30.7,0.57,35.81
2017/6/22,12.89,246.0,0.62,34.86,1.19,30.32
2017/6/24,10.73,220.75,0.41,13.04,0.54,30.83
2017/6/25,10.23,217.72,0.53,29.59,0.33,11.54
2017/6/26,12.36,263.91,0.58,37.05,1.42,33.75
2017/6/27,11.86,261.66,1.76,80.11,0.57,36.81
2017/6/28,13.88,263.77,1.32,29.11,0.58,35.1
2017/6/29,11.57,255.31,0.53,34.75,1.4,26.72
2017/6/30,11.98,266.05,1.35,32.0,0.57,37.97
2017/7/1,10.61,240.99,0.5,33.87,0.69,31.99
2017/7/2,10.09,232.78,0.47,30.97,0.61,20.89
2017/7/3,12.43,269.0,0.57,38.52,2.03,72.27
2017/7/4,12.25,263.88,0.55,36.34,1.4,38.29
2017/7/5,12.19,263.47,0.54,35.25,1.31,33.96
2017/7/6,13.72,261.44,0.54,34.62,1.12,31.59
2017/7/7,13.84,266.83,0.56,36.62,1.79,84.98
2017/7/8,11.17,234.17,0.48,30.87,0.41,15.32
2017/7/9,11.15,238.15,0.47,29.53,0.35,12.23
2017/7/10,16.09,278.45,0.59,39.22,1.35,37.07
2017/7/11,13.08,253.26,0.54,36.21,1.15,29.82
2017/7/12,12.46,238.0,0.52,34.57,1.21,27.49
2017/7/13,11.63,234.23,0.53,34.77,1.29,34.22
2017/7/14,12.25,240.39,0.55,37.15,1.28,40.24
2017/7/15,9.68,204.93,0.47,30.91,0.38,14.62
2017/7/16,9.68,196.93,0.46,29.06,0.4,12.15
2017/7/17,12.05,233.28,0.56,38.62,1.33,32.62
2017/7/18,11.16,226.27,0.55,36.9,1.14,30.52
2017/7/19,11.61,229.23,0.55,37.41,1.3,30.42
